date,close
2013-10-06,122.0
2013-10-07,123.61
2013-10-08,124.18
2013-10-09,123.84
2013-10-10,125.86
2013-10-12,127.0
2013-10-13,131.8408
2013-10-14,135.59
2013-10-15,133.87975
2013-10-16,138.09
2013-10-17,143.79522
2013-10-18,149.04856
2013-10-19,165.56
2013-10-20,162.981
2013-10-21,176.32429
2013-10-22,150.0
2013-10-23,203.45
2013-10-24,193.0999
2013-10-25,186.0499
2013-10-26,184.58
2013-10-27,191.0
2013-10-29,195.0
2013-10-30,203.77
2013-10-31,202.1
2013-11-01,202.9
2013-11-02,203.51
2013-11-03,209.748
2013-11-04,226.9001
2013-11-05,244.95532
2013-11-06,263.73672
2013-11-07,289.62884
2013-11-08,330.64785
2013-11-09,338.68
2013-11-10,317.0
2013-11-11,340.725
2013-11-12,355.0
2013-11-13,398.0
2013-11-14,425.62096
2013-11-15,410.0
2013-11-16,438.0
2013-11-17,491.50107
2013-11-18,700.0
2013-11-19,587.52083
2013-11-20,591.81
2013-11-21,670.06042
2013-11-22,796.56582
2013-11-23,830.75754
2013-11-24,808.33476
2013-11-25,801.59886
2013-11-26,893.87025
2013-11-27,994.95
2013-11-28,1000.32893
2013-11-29,1165.425
2013-11-30,1114.24001
2013-12-01,953.72943
2013-12-02,1022.9544
2013-12-03,1063.46318
2013-12-04,1079.93122
2013-12-05,1032.05233
2013-12-06,864.78197
2013-12-07,699.42201
2013-12-08,795.61257
2013-12-09,899.72762
2013-12-10,959.11111
2013-12-11,883.78144
2013-12-12,873.0
2013-12-13,878.79707
2013-12-14,862.17448
2013-12-15,863.71354
2013-12-16,709.93373
2013-12-17,702.0
2013-12-18,528.0
2013-12-19,699.81249
2013-12-20,665.44627
2013-12-21,621.45299
2013-12-22,641.0361
2013-12-23,655.22662
2013-12-24,659.79308
2013-12-25,676.0
2013-12-26,752.33596
2013-12-27,731.86466
2013-12-28,719.0
2013-12-29,733.0451
2013-12-30,749.0
2013-12-31,739.73114
2014-01-01,753.99
2014-01-02,788.30421
2014-01-03,808.51778
2014-01-04,827.64784
2014-01-05,904.75
2014-01-06,919.11176
2014-01-07,810.0
2014-01-08,824.98287
2014-01-09,841.86934
2014-01-10,857.33056
2014-01-11,899.84105
2014-01-12,860.0
2014-01-13,835.0
2014-01-14,831.0
2014-01-15,850.00364
2014-01-16,826.97077
2014-01-17,804.0
2014-01-18,819.51
2014-01-19,835.0
2014-01-20,843.76589
2014-01-21,829.01
2014-01-22,830.88999
2014-01-23,830.88897
2014-01-24,803.01935
2014-01-25,812.02
2014-01-26,826.72139
2014-01-27,780.0
2014-01-28,815.99
2014-01-29,795.0
2014-01-30,808.0
2014-01-31,812.19037
2014-02-01,825.0
2014-02-02,814.86431
2014-02-03,819.78
2014-02-04,802.4
2014-02-05,802.5
2014-02-06,767.60884
2014-02-07,714.12206
2014-02-08,699.30255
2014-02-09,689.0
2014-02-10,690.2
2014-02-11,714.56111
2014-02-12,670.6659
2014-02-13,623.94582
2014-02-14,670.33964
2014-02-15,659.2834
2014-02-16,624.73111
2014-02-17,638.1016
2014-02-18,636.5201
2014-02-19,630.16179
2014-02-20,561.14602
2014-02-21,572.2744
2014-02-22,610.04308
2014-02-23,616.88
2014-02-24,572.0
2014-02-25,535.59831
2014-02-26,587.27133
2014-02-27,596.48629
2014-02-28,573.94119
2014-03-01,575.0
2014-03-02,578.0
2014-03-03,666.9435
2014-03-04,680.6
2014-03-05,680.99
2014-03-06,666.70413
2014-03-07,636.20048
2014-03-08,636.0088
2014-03-09,647.9349
2014-03-10,642.0757
2014-03-11,641.0
2014-03-12,632.31094
2014-03-13,653.39758
2014-03-14,631.23955
2014-03-15,646.0
2014-03-16,651.95
2014-03-17,637.73128
2014-03-18,619.78308
2014-03-19,620.062
2014-03-20,590.0
2014-03-21,590.0
2014-03-22,572.29918
2014-03-23,568.53521
2014-03-24,585.40025
2014-03-25,584.0
2014-03-26,585.0851
2014-03-27,512.7888
2014-03-28,516.48107
2014-03-29,514.99
2014-03-30,462.47601
2014-03-31,462.38593
2014-04-01,489.0
2014-04-02,443.625
2014-04-03,461.85
2014-04-04,458.84148
2014-04-05,467.85
2014-04-06,461.81827
2014-04-07,462.07946
2014-04-08,458.87469
2014-04-09,452.99853
2014-04-10,371.7835
2014-04-11,431.0
2014-04-12,448.0
2014-04-13,429.7899
